MCS,Modulation,CodeRate,Qm,SNR_BLER10_Cpp,SNR_BLER10_Sionna,Gap_dB
0,QPSK,0.117188,2,-2.2069,,
1,QPSK,0.153320,2,-0.5960,,
2,QPSK,0.188477,2,-0.1780,-2.3125,2.1345
3,QPSK,0.245117,2,-0.2141,-2.0675,1.8534
4,QPSK,0.300781,2,1.6200,-0.2343,1.8543
5,QPSK,0.370117,2,1.8118,0.7500,1.0618
6,QPSK,0.438477,2,3.5640,1.7531,1.8109
7,QPSK,0.513672,2,3.8000,1.8578,1.9422
8,QPSK,0.587891,2,3.8136,3.7546,0.0590
9,QPSK,0.663086,2,3.9378,3.8848,0.0530
10,16QAM,0.332031,4,5.7480,3.9672,1.7808
11,16QAM,0.369141,4,5.8027,5.6923,0.1104
12,16QAM,0.423828,4,6.5280,,
13,16QAM,0.478516,4,7.7880,7.2857,0.5023
14,16QAM,0.540039,4,7.8090,7.8036,0.0054
15,16QAM,0.601562,4,9.6880,9.4444,0.2436
16,16QAM,0.642578,4,9.8000,9.8000,0.0000
17,64QAM,0.427734,6,11.7680,9.8063,1.9617
18,64QAM,0.455078,6,11.8000,9.9708,1.8292
19,64QAM,0.504883,6,11.8201,11.7970,0.0232
20,64QAM,0.553711,6,13.7960,13.4286,0.3674
21,64QAM,0.601562,6,13.8000,13.7990,0.0010
22,64QAM,0.650391,6,14.8009,14.8000,0.0009
23,64QAM,0.702148,6,16.6080,15.5965,1.0115
24,64QAM,0.753906,6,16.8000,16.7990,0.0010
25,64QAM,0.802734,6,17.8000,17.7980,0.0020
26,64QAM,0.852539,6,17.8812,17.8509,0.0303
27,64QAM,0.888672,6,19.7160,19.6078,0.1082
